Sol,Activity,min_rod_temp,avg_rod_temp,max_rod_temp,min_wind_speed,avg_wind_speed,max_wind_speed,wind_dir_volatility,Solar longitude (deg),age_factor
14,No runout,193.9497098321343,228.77197260872032,258.29772222222226,6.307180000000001,8.950617168141246,11.18330855855856,7.361200756208368,304.22,0.0
15,Runout,181.0492362962963,214.92284053777485,264.2343881481481,2.400286458333333,5.076588975872717,7.775539999999999,14.746205286665557,304.83,0.015151515151515152
16,No runout,182.00106222222223,214.58589821970546,260.18451407407406,3.897984076433121,6.618886420631745,10.395,14.436147092104157,305.44,0.030303030303030304
17,Runout,182.4126977777778,214.85231013478696,262.392504804139,3.941426666666666,6.240831768421877,8.49018,11.352655174721292,306.04,0.045454545454545456
18,No runout,182.80517555555556,215.35807730509276,262.17304814814815,2.614822580645161,5.9617565548040945,9.237953229398665,14.699513183063052,306.65,0.06060606060606061
19,Runout,182.58030962962968,213.5559637086319,259.17171777777776,4.050953333333333,8.018812624000725,12.03523777777778,4.115322117792055,307.25,0.07575757575757576
20,No runout,182.52651703703702,214.96597310074688,264.30521851851853,1.906122448979592,5.670364978602704,8.245226666666666,21.27512584185665,307.86,0.09090909090909091
21,Runout,185.55104804138952,214.78718293262926,258.0771266666667,4.269453333333333,8.100428942933956,12.377577777777775,7.418271973223251,308.46,0.10606060606060606
22,No runout,185.0907259259259,210.4270500780396,263.6329985185185,4.588204444444444,5.941352738947645,8.576125313283207,10.979795309385386,309.06,0.12121212121212122
23,No runout,185.18730370370372,215.30056556491488,259.0738977777778,,,,,309.66,0.13636363636363635
24,No runout,184.62271777777778,214.29249354534122,257.9088859259259,3.4067299107142857,7.659168558844514,11.724083333333333,5.776818464679258,310.26,0.15151515151515152
25,No runout,185.00450740740743,216.36491596098236,264.8257992592593,1.8106560846560849,4.757361434471681,7.448191536748329,22.84035044230889,310.86,0.16666666666666666
26,No runout,184.95395777777776,214.5067151298813,257.70620888888885,4.848215555555556,7.587303015189879,12.021659242761691,6.478078742725508,311.46,0.18181818181818182
27,Runout,184.2080525925926,215.51951932258063,263.16235555555556,2.43765,5.680120983573283,8.609227171492206,12.690653623711752,312.05,0.19696969696969696
28,Runout,185.30277259259256,214.72146907404726,258.4429777777778,3.6640133333333336,7.032360583068767,11.262562222222222,7.465317168835765,312.65,0.21212121212121213
29,Runout,184.62394148148147,214.91870215417077,261.7593859259259,2.5483143507972668,7.265019557885683,13.80816888888889,7.731808302127683,313.25,0.22727272727272727
30,No runout,187.8314335443038,191.43899894971545,195.990115942029,5.710002222222223,6.08714074302401,6.422473333333333,3.514619179258976,313.84,0.24242424242424243
32,No runout,197.24962162162169,230.7264214864865,264.5148518518518,2.4607613636363634,5.025349227710664,8.65538888888889,21.95879277595805,315.02,0.25757575757575757
33,Runout,185.1293074074074,214.07474184315717,256.6793962962963,4.606955555555556,8.220306658717702,12.54588888888889,4.267129531567762,315.62,0.2727272727272727
