bin,BMY_BASE_ROD_TEMP,BMY_MID_ROD_TEMP,BMY_TIP_ROD_TEMP,BMY_HORIZONTAL_WIND_SPEED,BMY_WIND_DIRECTION,file_id
2018-12-11 02:15:00,244.1417287066246,240.2707886435331,236.32952996845424,10.595786610878662,306.4652468619247,0014
2018-12-11 02:30:00,247.03064666666666,242.7895511111111,238.36376888888887,10.768310657596372,301.5684013605442,0014
2018-12-11 02:45:00,249.7225222222222,245.28367777777777,241.03388,11.18330855855856,298.88895495495495,0014
2018-12-11 03:00:00,251.67386222222223,247.23198666666667,242.67586888888889,9.900207207207208,300.5481418918919,0014
2018-12-11 03:15:00,253.86410666666666,249.40036666666666,245.1293311111111,9.896824053452116,293.83361024498885,0014
2018-12-11 03:30:00,255.53011111111113,251.1388111111111,246.77583333333334,10.27199552572707,300.7190782997763,0014
2018-12-11 03:45:00,256.9283555555555,252.63621777777777,248.6227511111111,9.07266592427617,299.01213808463257,0014
2018-12-11 04:00:00,259.1092904656319,254.84368736141906,250.16245676274943,8.15146803652968,293.86125114155254,0014
2018-12-11 04:15:00,260.08913333333334,256.25469111111113,251.12868444444445,8.064966592427616,277.1095991091314,0014
2018-12-11 04:30:00,260.3775044444444,256.6076155555555,251.7754888888889,10.079633333333334,302.82345555555554,0014
2018-12-11 04:45:00,261.14762222222225,257.9946,252.27883111111112,8.569472160356348,308.66115590200445,0014
2018-12-11 05:00:00,261.91646444444444,259.12048444444446,253.3209688888889,8.92418,303.49578444444444,0014
2018-12-11 05:15:00,261.90945999999997,259.3630044444444,253.57544444444443,8.375185682326622,300.2743378076063,0014
2018-12-11 05:30:00,262.0465977777778,259.38418444444443,253.46238444444447,9.435622222222221,289.0118066666667,0014
2018-12-11 05:45:00,261.3791488888889,259.0597622222222,254.4472822222222,10.456977777777778,306.1451666666667,0014
2018-12-11 06:00:00,261.1602022222222,259.2412111111111,254.3202977777778,8.55109090909091,282.1535590909091,0014
2018-12-11 06:15:00,260.64594222222223,258.53526222222223,253.44114444444443,9.378077777777778,302.99068222222223,0014
