sol,temp_range,environmental_stress_index,temp_min,temp_max,temp_avg,mars_season,mission_phase,solar_longitude_deg,dust_season_risk,orbital_thermal_factor,wind_speed_avg,wind_speed_max
49,77.99389,0.11826435,186.35333,264.34723,217.92303,Winter_North,Checkout,324.972,0.0,0.6296455,5.2483015,8.940422
50,78.826225,0.11283721,185.86435,264.69055,217.42986,Winter_North,Checkout,325.5458,0.0,0.624803,4.963244,9.107079
51,79.404434,0.14752868,186.21727,265.6217,217.88867,Winter_North,Checkout,326.12228,0.0,0.6199253,4.0395317,6.7663
52,80.92974,0.15804447,185.92311,266.85284,218.31828,Winter_North,Checkout,326.6906,0.0,0.6151047,3.9706182,7.7255445
53,80.33013,0.17224413,185.66338,265.9935,218.33842,Winter_North,Checkout,327.2616,0.0,0.61025,3.917289,7.844911
54,80.23681,0.17215088,185.34026,265.57706,217.63582,Winter_North,Checkout,327.83484,0.0,0.60536516,4.19107,7.4532332
55,79.140076,0.17009938,185.37817,264.51825,217.95483,Winter_North,Checkout,328.4004,0.0,0.6005355,4.4470415,7.9413557
56,79.1825,0.12112322,185.08153,264.26404,217.42085,Winter_North,Checkout,328.9659,0.0,0.5956965,4.263729,7.460422
57,79.03101,0.12571745,185.16937,264.20038,217.456,Winter_North,Checkout,329.5346,0.0,0.59082085,5.008874,8.170033
58,78.892265,0.18950215,184.78685,263.6791,217.23476,Winter_North,Checkout,330.1006,0.0,0.5859594,5.4811482,9.165155
59,79.84339,0.1888621,184.36952,264.21292,217.13696,Winter_North,Checkout,330.66312,0.0,0.5811195,5.127882,8.4531555
60,79.09799,0.15637957,185.00977,264.10776,217.68979,Winter_North,Checkout,331.2294,0.0,0.57623935,4.709015,7.371889
61,81.08096,0.1423321,184.85205,265.933,217.94269,Winter_North,Checkout,331.7922,0.0,0.57138187,4.5004163,7.242478
62,81.44945,0.13734493,184.36438,265.8138,217.71179,Winter_North,Checkout,332.357,0.0,0.5665001,4.562197,7.1311445
63,83.03793,0.12840877,184.46979,267.50772,217.91075,Winter_North,Checkout,332.9146,0.0,0.5616743,4.419489,6.672978
64,82.51611,0.14093125,184.19864,266.71475,217.89331,Winter_North,Checkout,333.4744,0.0,0.55682355,4.2831283,6.5724444
65,82.64269,0.10102887,184.42403,267.0667,216.22034,Winter_North,Checkout,334.01743,0.0,0.552113,4.8143926,6.9585
66,82.42781,0.06819737,184.1804,266.60822,217.78406,Winter_North,Checkout,334.5912,0.0,0.5471306,4.6029243,6.664011
67,83.23254,0.08427211,183.8269,267.05945,216.7392,Winter_North,Checkout,335.14536,0.0,0.5423141,4.932827,6.9333
68,81.43686,0.1382788,183.74797,265.1848,216.92345,Winter_North,Checkout,335.7036,0.0,0.53745806,5.475789,8.309478
69,82.43763,0.14338866,183.41644,265.85406,217.32,Winter_North,Checkout,336.2584,0.0,0.5326284,4.3829336,6.5368915
70,83.217255,0.15426105,183.92642,267.14368,217.22142,Winter_North,Checkout,336.81015,0.0,0.5278222,4.160484,5.937911
71,85.53482,0.1645528,184.16782,269.70264,218.46323,Winter_North,Checkout,337.3652,0.0,0.52298486,4.1353374,6.2826777
72,84.30682,0.1660045,183.33397,267.64078,217.59029,Winter_North,Checkout,337.9172,0.0,0.51817185,4.242908,6.7686334
73,82.71026,0.17445223,183.08333,265.79358,216.10287,Winter_North,Checkout,338.4658,0.0,0.513387,4.8988376,7.6509776
74,82.01251,0.19100587,183.19377,265.2063,216.83754,Winter_North,Checkout,339.018,0.0,0.5085691,5.2892923,7.071778
75,84.0353,0.16408925,183.20744,267.24274,215.61253,Winter_North,Checkout,339.54773,0.0,0.50394666,4.074256,6.7620225
76,81.82241,0.17265669,183.28543,265.10785,216.56987,Winter_North,Checkout,340.11813,0.0,0.4989692,4.0337396,6.270178
77,83.60978,0.17068084,182.4108,266.02057,216.63062,Winter_North,Checkout,340.6616,0.0,0.49422657,4.648242,7.0421066
