datetime,sol,end,look_ahead,activity,solar_longitude_deg,date,year,month,day,hour,day_of_year,weekday
2019-01-19 04:42:00,52,,,Pinning Mass Imaging from Standoff Position and Tau Imaging,326.65,2019-01-19,2019,1,19,4,19,5
2019-01-20 05:22:00,53,,,Runout; Saltation Images,327.23,2019-01-20,2019,1,20,5,20,6
2019-01-21 06:02:00,54,,,Runout,327.79,2019-01-21,2019,1,21,6,21,0
2019-01-22 06:41:00,55,,,Runout,328.36,2019-01-22,2019,1,22,6,22,1
2019-01-23 07:21:00,56,,,"Pinning Mass Adjustment, HP3 Radiometer Calibration, Recenter SEIS VBBs, and SEIS SP and VBB Data Collection",328.93,2019-01-23,2019,1,23,7,23,2
2019-01-24 08:01:00,57,,,Runout,329.5,2019-01-24,2019,1,24,8,24,3
2019-01-25 08:40:00,58,,,"Tau Imaging, HP3 Tilt Measurement, HP3 Radiometer Hourly Mode, SEIS Tilt, SEIS SP and VBB Data Collection, Calibration Target Imaging, and Stereo Imaging of the HP3 Placement Site",330.07,2019-01-25,2019,1,25,8,25,4
2019-01-26 09:20:00,59,,,Pinning Mass Adjustment #2 and HP3 Engineering Tether Preheat Test,330.63,2019-01-26,2019,1,26,9,26,5
2019-01-27 09:59:00,60,,,Runout,331.19,2019-01-27,2019,1,27,9,27,6
2019-01-28 10:39:00,61,,,Pinning Mass Adjustment #3 and HP3 Radiometer Calibration,331.76,2019-01-28,2019,1,28,10,28,0
2019-01-29 11:18:00,62,,,"LSA Imaging, SEIS Stereo Imaging, WTS Site Imaging, SEIS SP/VBB Data Collection, HP3 Rad Hourly, and Grapple Unstow",332.32,2019-01-29,2019,1,29,11,29,1
2019-01-30 11:58:00,63,,,WTS Teach Point,332.88,2019-01-30,2019,1,30,11,30,2
2019-01-31 12:37:00,64,,,Arm Motor Temperature Monitoring; Collect Event Data,333.44,2019-01-31,2019,1,31,12,31,3
2019-02-01 13:17:00,65,,,WTS Capture,334.0,2019-02-01,2019,2,1,13,32,4
2019-02-02 13:56:00,66,,,WTS Deploy,334.56,2019-02-02,2019,2,2,13,33,5
2019-02-03 14:36:00,67,69.0,,"WTS Grapple Adjustment, WTS Imaging, SEIS Tilt Measurements, VBB Recentering, SP and VBB Data Collection, HP3 Radiometer Measurements, and APSS Data Collection",335.11,2019-02-03,2019,2,3,14,34,6
2019-02-06 16:34:00,70,,,WTS Release,336.78,2019-02-06,2019,2,6,16,37,2
2019-02-07 17:14:00,71,,,"Tau, Deck Imaging, WTS Mosaic, and HP3 Checkout",337.33,2019-02-07,2019,2,7,17,38,3
2019-02-08 17:53:00,72,,,Runout,337.88,2019-02-08,2019,2,8,17,39,4
2019-02-09 18:33:00,73,,,Position Grapple Over HP3 Teach Point,338.43,2019-02-09,2019,2,9,18,40,5
2019-02-10 19:12:00,74,,,"HP3 Capture, SEIS Commissioning Activities, and HP3 Tilt Measurement",338.98,2019-02-10,2019,2,10,19,41,6
2019-02-11 19:52:00,75,,,Runout,339.53,2019-02-11,2019,2,11,19,42,0
2019-02-12 20:31:00,76,,,HP3 Deployment,340.08,2019-02-12,2019,2,12,20,43,1
2019-02-13 21:11:00,77,,,HP3 Checkout and SEIS Commissioning,340.63,2019-02-13,2019,2,13,21,44,2
2019-02-14 21:50:00,78,,,Runout,341.17,2019-02-14,2019,2,14,21,45,3
2019-02-15 22:30:00,79,,,HP3 Grapple Adjustment Part 1 and SEIS Commissioning,341.72,2019-02-15,2019,2,15,22,46,4
2019-02-16 23:09:00,80,,,Runout,342.26,2019-02-16,2019,2,16,23,47,5
2019-02-17 23:49:00,81,,,HP3 Grapple Adjustment Part 2 and SEIS Commissioning,342.8,2019-02-17,2019,2,17,23,48,6
2019-02-19 00:28:00,82,,,Runout,343.35,2019-02-19,2019,2,19,0,50,1
2019-02-20 01:07:00,83,84.0,,HP3 Grapple Release,343.89,2019-02-20,2019,2,20,1,51,2
2019-02-22 02:26:00,85,86.0,,"HP3 Tilt Measurement, HP3 and Deck Imaging, and SEIS VBB Characterization and Calibration",344.97,2019-02-22,2019,2,22,2,53,4
2019-02-24 03:45:00,87,89.0,,HP3 Mole Release and SEIS Activities,346.04,2019-02-24,2019,2,24,3,55,6
2019-02-27 05:43:00,90,91.0,*,HP3 Hammering and SEIS VBB3 Characterization,347.65,2019-02-27,2019,2,27,5,58,2
2019-03-01 07:02:00,92,93.0,*,"SEIS Commissioning Activities, HP3 Stereo Imaging, Payload Grapple Localization, and Sunrise Imaging",348.72,2019-03-01,2019,3,1,7,60,4
2019-03-03 08:21:00,94,95.0,*,"SEIS Commissioning Activities, IDC AM Tau, and Grapple Stow",349.78,2019-03-03,2019,3,3,8,62,6
2019-03-19 18:50:00,110,111.0,,Workspace and HP3 Imaging,358.15,2019-03-19,2019,3,19,18,78,1
2019-03-21 20:08:00,112,113.0,,Tau and Cloud Survey Imaging; Setup for Equinox Imaging,359.18,2019-03-21,2019,3,21,20,80,3
2019-03-23 21:27:00,114,116.0,,HP3 Imaging,0.21,2019-03-23,2019,3,23,21,82,5
2019-03-26 23:25:00,117,118.0,*,"Unsafe the Cameras, AM Tau, and HP3 Hammering While Imaging",1.74,2019-03-26,2019,3,26,23,85,1
2019-03-29 00:43:00,119,120.0,*,"Science Panorama Gap Imaging, HP3 Imaging, and HP3 Radiometer Special Observations",2.76,2019-03-29,2019,3,29,0,88,4
2019-03-31 02:02:00,121,123.0,*,Science Morning Panorma,3.78,2019-03-31,2019,3,31,2,90,6
2019-04-09 07:55:00,130,131.0,,Runout,8.31,2019-04-09,2019,4,9,7,99,1
