sol,temp_min,temp_max,temp_avg,temp_range,temp_p05,temp_median,temp_p95,wind_speed_avg,wind_speed_max,wind_speed_std,wind_speed_median,wind_speed_p95,wind_gust_factor,wind_direction_avg,wind_direction_std,wind_resultant_length,wind_u_mean,wind_v_mean,wind_vector_mean_speed,wind_vector_mean_dir,solar_longitude_deg,weather_readings_count,weather_temp_completeness,weather_wind_completeness,weather_data_completeness,weather_available_today,activity_count,activity_text,has_activity,operational_status_rate,has_operational_problem,criticality_rate,is_critical_operation,power_status_rate,has_power_issue,mars_year,sol_of_mars_year,sol_gap,is_consecutive_sol,sol_gap_size,mission_age_linear,mission_age_log,mission_phase,phase_progress,equipment_age_factor,wear_accumulation,activity_word_count,instruction_complexity,is_multipart_operation,operation_part_number,uses_ida,uses_hp3,uses_seis,uses_apss,uses_camera,uses_wts,systems_involved,primary_instrument,is_science_activity,is_maintenance_activity,is_deployment_activity,is_recovery_activity,is_thermal_activity,is_communication_activity,primary_activity_type,activity_intensity,multiple_activities,mars_season,dust_season_risk,orbital_thermal_factor,ls_sin,ls_cos,solar_longitude_diff,temp_volatility_7sol,temp_trend_7sol,operational_tempo_3sol,operational_tempo_7sol,operational_tempo_15sol,sols_since_last_problem,sols_to_next_problem,sols_since_last_activity,activity_days_30sol,cumulative_activity_count,wind_gustiness,wind_volatility_7sol,wind_dust_lifting,wind_sustained_high,wind_high_volatility,dust_storm_probability,dust_event_level,ida_cumulative_usage,ida_usage_intensity,hp3_cumulative_usage,hp3_usage_intensity,seis_cumulative_usage,seis_usage_intensity,apss_cumulative_usage,apss_usage_intensity,camera_cumulative_usage,camera_usage_intensity,wts_cumulative_usage,wts_usage_intensity,mission_operational_cycles,equipment_reliability_score,maintenance_activity,sols_since_maintenance,environmental_stress_index,operational_risk_index,power_availability_proxy,solar_longitude,avg_temp
1,180.14088,264.8105,214.61949,84.447586,183.65314,,260.7156,6.702726,11.669703,1.7113097,,9.267568,1.7339644,285.21445,24.019852,,,,,,296.23,100.0,,,1.0,1.0,1,Thermal Checkouts,1,,0.0,,0.0,,0.0,1,1,1,1,0,0.0006997901,0.09540347,Checkout,0.01,0.0005994004,0.001,2,1,0,0,0,0,0,0,0,1,1,WTS,0,1,0,0,1,0,MAINTENANCE,0.15227273,0,Winter_North,0.06283333,0.8458826,-0.8970271,0.4419756,0.0,0.0,0.0,0.15227273,0.15227273,0.15227273,999,67,0,1,1,4.966976,0.0,0,0,0,0.14463249,none,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,0.99875015,1,0,0.018849999,0.09635863,0.792733,296.23,214.61949
2,180.14088,264.8105,214.61949,84.447586,183.65314,,260.7156,6.702726,11.669703,1.7113097,,9.267568,1.7339644,285.21445,24.019852,,,,,,296.85,100.0,,,1.0,1.0,1,Safe Mode,1,,0.0,,0.0,,0.0,1,2,1,1,0,0.0013995802,0.15121092,Checkout,0.02,0.0011976032,0.002,2,1,0,0,0,0,0,0,0,0,0,NONE,0,0,0,1,0,0,RECOVERY,0.07727273,0,Winter_North,0.0525,0.84195536,-0.892192,0.4516563,0.62,0.0,0.0,0.11477273,0.11477273,0.11477273,999,66,0,2,2,4.966976,0.0,0,0,0,0.14049916,none,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,2,0.9975006,0,1,0.01575,0.08576764,0.7977527,296.85,214.61949
3,180.14088,264.8105,214.61949,84.447586,183.65314,,260.7156,6.702726,11.669703,1.7113097,,9.267568,1.7339644,285.21445,24.019852,,,,,,297.47,100.0,,,1.0,1.0,1,Safe Mode Recovery,1,,0.0,,0.0,,0.0,1,3,1,1,0,0.0020993701,0.19080694,Checkout,0.03,0.0017946108,0.003,3,1,0,0,0,0,0,0,0,0,0,NONE,0,0,0,1,0,0,RECOVERY,0.09090909,0,Winter_North,0.042166665,0.8379881,-0.8872525,0.4612841,0.62,0.0,0.0,0.106818184,0.106818184,0.106818184,999,65,0,3,3,4.966976,0.0,0,0,0,0.13636582,none,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,3,0.9962514,0,2,0.01265,0.08256288,0.80265296,297.47,214.61949
4,180.14088,264.8105,214.61949,84.447586,183.65314,,260.7156,6.702726,11.669703,1.7113097,,9.267568,1.7339644,285.21445,24.019852,,,,,,298.09,100.0,,,1.0,1.0,1,"IDA Unstow Part 1, ICC Cover Open, and Instrument Checkouts",1,,0.0,,0.0,,0.0,1,4,1,1,0,0.0027991603,0.22151999,Checkout,0.04,0.0023904257,0.004,10,4,1,1,1,0,0,0,1,0,2,IDA,0,1,1,0,0,0,MAINTENANCE,0.48636365,0,Winter_North,0.031833332,0.8339812,-0.88220906,0.47085792,0.62,0.0,0.0,0.21818182,0.20170455,0.20170455,999,64,0,4,4,4.966976,0.0,0,0,0,0.13223249,none,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,4,0.9950025,1,0,0.00955,0.10506825,0.8074328,298.09,214.61949
5,180.14088,264.8105,214.61949,84.447586,183.65314,,260.7156,6.702726,11.669703,1.7113097,,9.267568,1.7339644,285.21445,24.019852,,,,,,298.71,100.0,,,1.0,1.0,1,IDA/IDC and APSS Safed,1,,0.0,,0.0,,0.0,1,5,1,1,0,0.0034989503,0.24661438,Checkout,0.05,0.00298505,0.005,4,2,0,0,1,0,0,1,1,0,3,IDA,0,0,0,1,0,0,RECOVERY,0.37954545,0,Winter_North,0.0215,0.82993525,-0.8770623,0.48037657,0.62,0.0,0.0,0.3189394,0.23727272,0.23727272,999,63,0,5,5,4.966976,0.0,0,0,0,0.12809916,none,2,1.0,0,0.0,0,0.0,1,1.0,2,1.0,1,1.0,5,0.9937539,0,1,0.00645,0.112743974,0.81209165,298.71,214.61949
6,180.14088,264.8105,214.61949,84.447586,183.65314,,260.7156,6.702726,11.669703,1.7113097,,9.267568,1.7339644,285.21445,24.019852,,,,,,299.32,100.0,,,1.0,1.0,1,Runout,1,,0.0,,0.0,,0.0,1,6,1,1,0,0.0041987402,0.2678314,Checkout,0.06,0.0035784862,0.006,1,1,0,0,0,0,0,0,0,0,0,NONE,0,0,0,0,0,0,NONE,0.06363636,0,Winter_North,0.011333333,0.8259169,-0.8718984,0.48968682,0.61,0.0,0.0,0.3098485,0.20833334,0.20833334,999,62,0,6,6,4.966976,0.0,0,0,0,0.12403249,none,2,1.0,0,0.0,0,0.0,1,1.0,2,1.0,1,1.0,6,0.9925056,0,2,0.0034,0.104319364,0.8165565,299.32,214.61949
7,180.14088,264.8105,214.61949,84.447586,183.65314,,260.7156,6.702726,11.669703,1.7113097,,9.267568,1.7339644,285.21445,24.019852,,,,,,299.94,100.0,,,1.0,1.0,1,Runout,1,,0.0,,0.0,,0.0,1,7,1,1,0,0.0048985304,0.2862104,Checkout,0.07,0.0041707368,0.007,1,1,0,0,0,0,0,0,0,0,0,NONE,0,0,0,0,0,0,NONE,0.06363636,0,Winter_North,0.001,0.82179475,-0.86654854,0.49909282,0.62,0.0,0.0,0.1689394,0.18766233,0.18766233,999,61,0,7,7,4.966976,0.0,0,0,0,0.11989915,none,2,1.0,0,0.0,0,0.0,1,1.0,2,1.0,1,1.0,7,0.9912576,0,3,0.0003,0.09793508,0.820973,299.94,214.61949
8,180.2088,266.69995,215.58427,85.52489,184.38367,,261.703,5.628128,9.597756,1.6655966,,8.539442,1.7215182,275.29895,34.99804,,,,,,300.55,99.5,,,1.0,1.0,1,"IDA Unstow Part 2, Deck Imaging, and Arm Characterization",1,,0.0,,0.0,,0.0,1,8,1,1,0,0.0055983206,0.30242184,Checkout,0.08,0.004761804,0.008,9,4,1,2,1,0,0,0,1,0,2,IDA,1,1,1,0,0,0,SCIENCE,0.47272727,0,Winter_North,0.0,0.8177023,-0.8611859,0.5082901,0.61,0.3646542,0.1607974,0.2,0.23344156,0.22329545,999,60,0,8,8,3.9696288,0.4061599,0,0,0,0.13290101,none,3,1.0,0,0.0,0,0.0,1,1.0,3,1.0,1,1.0,8,0.99000996,1,0,0.13475741,0.11501731,0.8177023,300.55,215.58427
9,180.2088,266.69995,215.58427,85.52489,184.38367,,261.703,5.628128,9.597756,1.6655966,,8.539442,1.7215182,275.29895,34.99804,,,,,,301.17,99.5,,,1.0,1.0,1,Runout,1,,0.0,,0.0,,0.0,1,9,1,1,0,0.0062981104,0.31692347,Checkout,0.09,0.00535169,0.009,1,1,0,0,0,0,0,0,0,0,0,NONE,0,0,0,0,0,0,NONE,0.06363636,0,Winter_North,0.0,0.8135059,-0.8556354,0.5175791,0.62,0.47076657,0.1607974,0.2,0.2314935,0.20555556,999,59,0,9,9,3.9696288,0.5243502,0,0,0,0.14378327,none,3,1.0,0,0.0,0,0.0,1,1.0,3,1.0,1,1.0,9,0.9887626,0,1,0.17397109,0.11931977,0.8135059,301.17,215.58427
10,180.2088,266.69995,215.58427,85.52489,184.38367,,261.703,5.628128,9.597756,1.6655966,,8.539442,1.7215182,275.29895,34.99804,,,,,,301.78,99.5,,,1.0,1.0,1,Above Deck and Footpad Imaging; APSS Checkout,1,,0.0,,0.0,,0.0,1,10,1,1,0,0.0069979005,0.33004177,Checkout,0.1,0.005940398,0.01,7,3,0,0,0,0,0,1,1,0,2,APSS,1,1,0,0,0,0,SCIENCE,0.39545456,0,Winter_North,0.0,0.8093413,-0.85007656,0.5266591,0.61,0.51569897,0.1607974,0.31060606,0.275,0.22454545,999,58,0,10,10,3.9696288,0.57439685,0,0,0,0.14839126,none,3,1.0,0,0.0,0,0.0,2,1.0,4,1.0,1,1.0,10,0.98751557,1,0,0.19057576,0.13247606,0.8093413,301.78,215.58427
11,180.2088,266.69995,215.58427,85.52489,184.38367,,261.703,5.628128,9.597756,1.6655966,,8.539442,1.7215182,275.29895,34.99804,,,,,,302.39,99.5,,,1.0,1.0,1,Runout,1,,0.0,,0.0,,0.0,1,11,1,1,0,0.0076976907,0.34201786,Checkout,0.11,0.0065279296,0.011,1,1,0,0,0,0,0,0,0,0,0,NONE,0,0,0,0,0,0,NONE,0.06363636,0,Winter_North,0.0,0.80514175,-0.84442145,0.5356794,0.61,0.51569897,0.1607974,0.17424242,0.21461038,0.20991735,999,57,0,11,11,3.9696288,0.57439685,0,0,0,0.14839126,none,3,1.0,0,0.0,0,0.0,2,1.0,4,1.0,1,1.0,11,0.9862688,0,1,0.19057576,0.11781502,0.80514175,302.39,215.58427
12,180.2088,266.69995,215.58427,85.52489,184.38367,,261.703,5.628128,9.597756,1.6655966,,8.539442,1.7215182,275.29895,34.99804,,,,,,303.0,99.5,,,1.0,1.0,1,Workspace Imaging,1,,0.0,,0.0,,0.0,1,12,1,1,0,0.0083974805,0.35303476,Checkout,0.12,0.007114287,0.012,2,1,0,0,0,0,1,0,1,0,2,SEIS,1,0,0,0,0,0,SCIENCE,0.22727273,0,Winter_North,0.0,0.8009075,-0.83867055,0.54463905,0.61,0.47076657,0.1607974,0.22878788,0.19285715,0.21136364,999,56,0,12,12,3.9696288,0.5243502,0,0,0,0.14378327,none,3,1.0,0,0.0,1,1.0,2,1.0,5,1.0,1,1.0,12,0.98502237,0,2,0.17397109,0.11096977,0.8009075,303.0,215.58427
13,236.32953,261.91647,250.90837,25.586935,239.79404,251.40634,260.57004,9.623235,11.183309,1.0430793,9.898516,10.95506,1.1621153,298.95407,7.7744107,0.9908365,4.6711607,-8.324432,9.545465,299.29846,304.192,12.0,1.0,1.0,1.0,1.0,1,Runout,1,,0.0,,0.0,,0.0,1,13,1,1,0,0.009097271,0.36323485,Checkout,0.13,0.0076994733,0.013,1,1,0,0,0,0,0,0,0,0,0,NONE,0,0,0,0,0,0,NONE,0.06363636,0,Winter_North,0.0,0.7925355,-0.82715905,0.5619679,1.192,13.416846,6.048146,0.11818182,0.19285715,0.2,999,55,0,13,13,1.5600736,1.4968823,0,0,1,0.1375334,none,3,1.0,0,0.0,1,1.0,2,1.0,5,1.0,1,1.0,13,0.9837763,0,3,0.67686075,0.10890595,0.7925355,304.192,250.90837
14,178.73375,266.7914,214.34854,88.05765,182.52951,204.28183,261.16092,6.3330755,10.75176,1.9705666,5.9610996,9.645045,1.6977154,277.6986,29.497679,0.87588036,1.2533252,-5.468566,5.610351,282.90854,304.381,100.0,1.0,0.58,0.832,1.0,1,"Below Deck imaging, Science Panorama, First Tau Image, APSS Power On, HP3 Radiometer Cover Open, and SEIS Calibration",1,,0.0,,0.0,,0.0,1,14,1,1,0,0.009797061,0.3727309,Checkout,0.14,0.00828349,0.014,18,7,0,0,0,1,1,1,1,0,4,HP3,1,1,0,0,0,0,SCIENCE,0.8954546,0,Winter_North,0.0,0.7911963,-0.8253008,0.56469333,0.189,13.43699,-0.2059549,0.39545456,0.3116883,0.24967533,999,54,0,14,14,4.4186845,1.4889618,0,0,1,0.20630795,none,3,1.0,1,1.0,2,1.0,3,1.0,6,1.0,1,1.0,14,0.9825305,1,0,0.6772764,0.16655959,0.7911963,304.381,214.34854
15,179.23839,266.5512,214.54288,87.31283,182.85623,203.95381,261.589,5.6273108,10.395,1.8313215,5.386231,9.069223,1.8472412,284.79083,29.53435,0.8755916,1.1278177,-4.8365006,4.9662576,283.12616,304.87488,99.0,1.0,0.7171717,0.8868687,1.0,1,Runout,1,,0.0,,0.0,,0.0,1,15,1,1,0,0.010496851,0.38161388,Checkout,0.15,0.00886634,0.015,1,1,0,0,0,0,0,0,0,0,0,NONE,0,0,0,0,0,0,NONE,0.06363636,0,Winter_North,0.0,0.78768194,-0.8204027,0.5717862,0.49387878,13.505483,-0.1735657,0.3409091,0.25324675,0.23727272,999,53,0,15,15,4.767689,1.4890232,0,0,1,0.21470457,none,3,1.0,1,1.0,2,1.0,3,1.0,6,1.0,1,1.0,15,0.9812849,0,1,0.6786898,0.15574381,0.78768194,304.87488,214.54288
16,179.9405,266.02856,214.73549,86.08805,183.14645,204.8739,261.24313,6.5315547,9.659002,1.244822,6.61,8.606956,1.4788213,274.97427,32.495953,0.85143167,0.8238635,-5.5787015,5.6392074,278.40073,305.4782,100.0,1.0,0.67,0.868,1.0,1,"High Resolution Imaging of SEIS and HP3 Deployment Locations, SEIS SP Data Collection, SEIS Tilt Measurement, HP3 Open Cover Radiometer Calibrations, and Start HP3 SSA Monitoring",1,,0.0,,0.0,,0.0,1,16,1,1,0,0.011196641,0.3899581,Checkout,0.16,0.009448025,0.016,26,7,0,0,0,1,1,1,1,0,4,HP3,1,1,1,0,0,0,SCIENCE,0.95,0,Winter_North,0.0,0.7833599,-0.8143364,0.58039314,0.6033212,13.558639,-0.14146435,0.6363636,0.37987015,0.29045454,999,52,0,16,16,3.1274476,1.4600084,0,0,1,0.17524242,none,3,1.0,2,1.0,3,1.0,4,1.0,7,1.0,1,1.0,16,0.9800397,1,0,0.6797867,0.1720506,0.7833599,305.4782,214.73549
17,180.1168,265.51672,215.42831,85.39991,183.64485,205.35492,262.22894,6.0641975,8.49018,1.1753318,6.089739,7.967262,1.40005,274.26932,37.54974,0.80674094,0.42893994,-4.89594,4.914694,275.007,306.0846,100.0,1.0,0.72,0.888,1.0,1,Runout,1,,0.0,,0.0,,0.0,1,17,1,1,0,0.011896431,0.3978253,Checkout,0.17,0.010028549,0.017,1,1,0,0,0,0,0,0,0,0,0,NONE,0,0,0,0,0,0,NONE,0.06363636,0,Winter_North,0.0,0.77898407,-0.8081482,0.5889792,0.6064,13.567582,-0.025994016,0.3590909,0.33246753,0.28954545,999,51,0,17,17,2.4259822,1.4291428,0,0,1,0.15836607,none,3,1.0,2,1.0,3,1.0,4,1.0,7,1.0,1,1.0,17,0.9787948,0,1,0.6799712,0.15388513,0.77898407,306.0846,215.42831
18,180.20265,265.1685,213.93243,84.96586,183.10118,204.7833,259.9655,7.637728,12.035237,1.9638463,7.836278,10.703296,1.5757614,286.643,23.69429,0.9180448,2.161159,-6.785706,7.121546,287.666,306.69366,99.0,1.0,0.8787879,0.95151514,1.0,1,Below Deck Imaging of All Footpads and Grapple Unstow,1,,0.0,,0.0,,0.0,1,18,1,1,0,0.012596221,0.405267,Checkout,0.18,0.010607912,0.018,9,2,0,0,1,0,0,0,1,0,2,IDA,1,0,1,0,0,0,SCIENCE,0.37272727,0,Winter_North,0.0,0.7745576,-0.8018417,0.5975365,0.60906667,13.674411,-0.27530807,0.46212122,0.3766234,0.30833334,999,50,0,18,18,4.3975096,1.4288102,1,0,1,0.4557985,minor,4,1.0,2,1.0,3,1.0,4,1.0,8,1.0,1,1.0,18,0.97755027,0,2,0.68217564,0.28433266,0.7745576,306.69366,213.93243
19,180.04732,266.7862,214.49202,86.73888,183.37842,204.47176,260.5806,6.2753477,11.103813,2.0233228,6.0875874,9.6027355,1.769434,277.36536,41.8386,0.7659705,1.2170353,-4.858649,5.0087566,284.0626,307.2944,100.0,1.0,0.82,0.928,1.0,1,Runout,1,,0.0,,0.0,,0.0,1,19,1,1,0,0.013296011,0.41232693,Checkout,0.19,0.011186117,0.019,1,1,0,0,0,0,0,0,0,0,0,NONE,0,0,0,0,0,0,NONE,0.06363636,0,Winter_North,0.0,0.7701613,-0.7955327,0.60591066,0.60073334,13.73829,-6.0693903,0.16666667,0.35324675,0.28015152,999,49,0,19,19,4.8284655,1.3613564,0,0,1,0.31616676,minor,4,1.0,2,1.0,3,1.0,4,1.0,8,1.0,1,1.0,19,0.97630596,0,3,0.68349385,0.2230713,0.7701613,307.2944,214.49202
20,180.04669,265.28992,215.04819,85.243225,184.62198,205.03008,259.83823,7.074374,10.866249,1.8013215,7.261852,9.864407,1.5360016,286.84613,27.005178,0.89487106,1.9495403,-6.1292276,6.431807,287.64444,307.89536,99.0,1.0,0.7878788,0.91515154,1.0,1,"SEIS Capture with Grapple, Acquire SEIS Data, Update TWINS Heater Setpoints, and Imaging",1,,0.0,,0.0,,0.0,1,20,1,1,0,0.013995801,0.41904232,Checkout,0.2,0.0117631685,0.02,13,5,0,0,1,0,1,1,1,0,4,IDA,1,0,1,0,1,1,SCIENCE,0.72727275,0,Winter_North,0.0,0.76573354,-0.7891338,0.61422133,0.60096365,0.48541692,0.11660713,0.3878788,0.44805196,0.30333334,999,48,0,20,20,3.7918754,0.6651939,0,0,0,0.15247479,none,5,1.0,2,1.0,4,1.0,5,1.0,9,1.0,1,1.0,20,0.97506195,0,4,0.21839376,0.18173122,0.76573354,307.89536,215.04819
21,180.08534,266.23718,215.0982,86.15184,184.29874,204.68819,259.1877,6.8225455,12.377578,1.8682522,6.192298,10.186239,1.814217,279.1295,27.676744,0.8898799,1.4419464,-5.938266,6.1108274,283.64856,308.5002,100.0,1.0,0.74,0.896,1.0,1,Runout,1,,0.0,,0.0,,0.0,1,21,1,1,0,0.014695591,0.42544523,Checkout,0.21,0.012339066,0.021,1,1,0,0,0,0,0,0,0,0,0,NONE,0,0,0,0,0,0,NONE,0.06363636,0,Winter_North,0.0,0.7612478,-0.782606,0.62251735,0.60483634,0.49129924,0.09255463,0.28484848,0.32922077,0.30333334,999,47,0,21,21,5.5550323,0.66967005,1,0,0,0.44530624,minor,5,1.0,2,1.0,4,1.0,5,1.0,9,1.0,1,1.0,21,0.9738183,0,5,0.21991733,0.26959127,0.7612478,308.5002,215.0982
22,179.94316,266.8536,210.95863,86.91043,183.97098,200.54713,260.2212,6.964502,8.576125,1.2952807,6.689978,8.407249,1.2314055,278.95978,33.89971,0.8394304,1.2130045,-5.8195915,5.9446635,281.77386,309.17545,83.0,1.0,0.04819277,0.6192771,1.0,1,SEIS Deployment,1,,0.0,,0.0,,0.0,1,22,1,1,0,0.0153953815,0.4315635,Checkout,0.22,0.012913813,0.022,2,1,0,0,0,0,1,0,0,0,1,SEIS,0,0,1,0,0,0,DEPLOYMENT,0.15227273,0,Winter_North,0.0,0.7562054,-0.77521515,0.6316973,0.6752578,1.5260367,-0.6294756,0.31439394,0.34188312,0.30924243,999,46,0,22,22,1.6116236,0.53006697,0,0,0,0.187579,none,5,1.0,2,1.0,5,1.0,5,1.0,9,1.0,1,1.0,22,0.97257495,0,6,0.19753774,0.17010115,0.7562054,309.17545,210.95863
23,179.50877,262.19034,214.18884,82.681564,183.41783,204.8737,258.64346,8.567627,11.724083,1.0232389,8.783111,9.599751,1.3684167,295.9294,9.888877,0.98521614,3.6400735,-7.616064,8.441242,295.54532,309.6996,99.0,1.0,0.1919192,0.67676765,1.0,1,IDC and ICC Imaging of SEIS; Unsafe HP3,1,,0.0,,0.0,,0.0,1,23,1,1,0,0.01609517,0.43742132,Checkout,0.23,0.013487412,0.023,8,3,0,0,1,1,1,0,1,0,4,IDA,1,0,0,0,0,0,SCIENCE,0.559091,0,Winter_North,0.0,0.752267,-0.7694043,0.6387621,0.52411795,1.5104758,-0.2065779,0.25833336,0.28603896,0.315,999,45,0,23,23,3.1564565,0.8445605,0,0,0,0.15370241,none,6,1.0,3,1.0,6,1.0,5,1.0,10,1.0,1,1.0,23,0.9713319,0,7,0.29573408,0.14302453,0.752267,309.6996,214.18884
24,179.65611,267.44495,215.72774,87.78885,184.97322,204.77827,260.37518,5.453375,10.817422,2.2553837,5.1552086,9.852865,1.9836198,265.04633,46.363747,0.72079366,0.5118976,-4.17567,4.2069297,276.98904,310.3014,100.0,1.0,0.76,0.904,1.0,1,Grapple Adjustment; HP3 Checkouts and Calibrations,1,,0.0,,0.0,,0.0,1,24,1,1,0,0.016794961,0.44303998,Checkout,0.24,0.014059864,0.024,6,3,0,0,1,1,0,0,0,0,2,IDA,0,1,1,0,0,0,MAINTENANCE,0.3818182,0,Winter_North,0.0,0.74771875,-0.7626525,0.6468084,0.6018242,1.5558138,0.29921934,0.36439398,0.33149353,0.33621213,999,44,0,24,24,5.3640475,0.98434657,0,0,0,0.21968493,none,7,1.0,4,1.0,6,1.0,5,1.0,10,1.0,1,1.0,24,0.9700891,1,0,0.3404587,0.18121618,0.74771875,310.3014,215.72774
25,179.59352,267.42352,215.499,87.82999,183.91437,204.87154,260.43167,6.535376,12.021659,1.8986691,6.2494555,10.335178,1.8394748,286.29443,28.89209,0.8806103,1.6722137,-5.575842,5.821195,286.69415,310.8998,100.0,1.0,0.72,0.888,1.0,1,"Release SEIS Grapple, HP3 Tilt Measurements, SEIS Collect SP Data and Tilt Measurements, and IDC and ICC Imaging",1,,0.0,,0.0,,0.0,1,25,1,1,0,0.017494751,0.44843826,Checkout,0.25,0.014631173,0.025,18,7,0,0,1,1,1,0,1,0,4,IDA,1,0,1,0,0,0,SCIENCE,0.8954546,0,Winter_North,0.0,0.7431692,-0.75585574,0.6547382,0.5984,1.6211057,0.16782685,0.6121212,0.40616885,0.36954546,999,43,0,25,25,5.4862833,0.9473473,1,0,0,0.4692191,minor,8,1.0,5,1.0,7,1.0,5,1.0,11,1.0,1,1.0,25,0.9688466,0,1,0.33021572,0.30013353,0.7431692,310.8998,215.499
26,178.78049,266.67795,214.45753,87.89746,184.13547,204.09665,258.95532,6.5099525,11.08474,1.7563274,6.2123976,9.906833,1.7027375,273.44778,39.106487,0.79221034,0.9630306,-5.2048135,5.293157,280.4827,311.50143,99.0,1.0,0.7171717,0.8868687,1.0,1,SEIS and Tether Imaging; Tau Imaging,1,,0.0,,0.0,,0.0,1,26,1,1,0,0.018194541,0.45363274,Checkout,0.26,0.0152013395,0.026,6,3,0,0,0,0,1,0,1,0,2,SEIS,1,0,0,0,0,0,SCIENCE,0.3818182,0,Winter_North,0.0,0.7385685,-0.7489393,0.66263866,0.60162425,1.6209394,-0.09844218,0.5530303,0.4516234,0.3907576,999,42,0,26,26,4.574787,0.92911804,0,0,0,0.19561121,none,8,1.0,5,1.0,8,1.0,5,1.0,12,1.0,1,1.0,26,0.9676045,0,2,0.32450184,0.20248875,0.7385685,311.50143,214.45753
27,179.95515,265.88675,215.7413,85.93159,184.16104,205.1012,260.47543,6.192377,10.792944,1.7414598,6.3279943,8.600803,1.7429404,288.22684,26.620842,0.8976846,1.9640764,-5.312708,5.664138,290.28906,312.0946,100.0,1.0,0.86,0.944,1.0,1,Runout,1,,0.0,,0.0,,0.0,1,27,1,1,0,0.018894332,0.4586383,Checkout,0.27,0.015770368,0.027,1,1,0,0,0,0,0,0,0,0,0,NONE,0,0,0,0,0,0,NONE,0.06363636,0,Winter_North,0.0,0.7340065,-0.742039,0.6703567,0.59317577,1.6852146,0.10718127,0.44696972,0.3568182,0.3798485,999,41,0,27,27,4.600567,0.9526234,0,0,0,0.19839567,none,8,1.0,5,1.0,8,1.0,5,1.0,12,1.0,1,1.0,27,0.96636266,0,3,0.33319142,0.1803359,0.7340065,312.0946,215.7413
28,179.73155,264.03528,214.21684,84.303734,183.10684,204.1351,258.86697,8.18208,13.808169,2.004475,7.9207687,11.251428,1.687611,282.45938,24.54824,0.9123025,1.7154227,-7.30966,7.508249,283.20712,312.69,100.0,1.0,0.84,0.936,1.0,1,Runout,1,,0.0,,0.0,,0.0,1,28,1,1,0,0.019594122,0.46346822,Checkout,0.28,0.016338259,0.028,1,1,0,0,0,0,0,0,0,0,0,NONE,0,0,0,0,0,0,NONE,0.06363636,0,Winter_North,0.0,0.7294023,-0.7350329,0.6780314,0.5954,1.6680411,0.54303426,0.16969697,0.3568182,0.3798485,999,40,0,28,28,5.6260886,1.1034664,1,0,1,0.48535657,minor,8,1.0,5,1.0,8,1.0,5,1.0,12,1.0,1,1.0,28,0.9651211,0,4,0.38008976,0.2955548,0.7294023,312.69,214.21684
29,183.01767,264.86847,212.3884,81.8508,186.13075,201.49062,261.99164,5.821263,7.833461,1.4336578,6.1285954,7.5392294,1.3456635,303.12283,11.1628065,0.98120004,3.0165927,-4.84547,5.7077503,301.90472,313.14258,61.0,1.0,0.7704918,0.90819675,1.0,1,Runout,1,,0.0,,0.0,,0.0,1,29,1,1,0,0.020293912,0.46813437,Checkout,0.29,0.016905015,0.029,1,1,0,0,0,0,0,0,0,0,0,NONE,0,0,0,0,0,0,NONE,0.06363636,0,Winter_North,0.0,0.72588587,-0.7296542,0.6838163,0.45259017,1.1979041,-0.3000752,0.06363636,0.34415588,0.32439396,999,39,0,29,29,2.012198,1.1770741,0,0,1,0.14841095,none,8,1.0,5,1.0,8,1.0,5,1.0,12,1.0,1,1.0,29,0.9638798,0,5,0.39344648,0.15804541,0.72588587,313.14258,212.3884
30,180.2088,266.69995,215.58427,85.52489,184.38367,,261.703,5.628128,9.597756,1.6655966,,8.539442,1.7215182,275.29895,34.99804,,,,,,313.84,99.5,,,1.0,1.0,1,"SEIS Leveling, Acquire SEIS Data, and Imaging",1,,0.0,,0.0,,0.0,1,30,1,1,0,0.020993702,0.4726475,Checkout,0.3,0.01747064,0.03,7,4,0,0,0,0,1,0,1,0,2,SEIS,1,1,0,0,0,0,SCIENCE,0.44545457,0,Winter_North,0.0,0.7204397,-0.7212768,0.69264686,0.6974098,1.2331253,-0.023911262,0.1909091,0.3279221,0.3498485,999,38,0,30,30,3.9696288,0.91684157,0,0,0,0.17992152,none,8,1.0,5,1.0,9,1.0,5,1.0,13,1.0,1,1.0,30,0.96263885,0,6,0.31265348,0.16702554,0.7204397,313.84,215.58427
