sol,wind_speed_avg,mars_season,temp_avg,environmental_stress_index,dust_season_risk,solar_longitude_deg,mission_phase,activity_count
79,4.5109954,Winter_North,215.86208,0.14749235,0.0,341.7557,Checkout,1
80,5.179022,Winter_North,215.76225,0.16218174,0.0,342.2964,Checkout,1
81,4.522854,Winter_North,215.91447,0.128639,0.0,342.83762,Checkout,1
82,4.165272,Winter_North,216.49815,0.12315943,0.0,343.3822,Checkout,1
83,4.0070744,Winter_North,216.81363,0.12606204,0.0,343.923,Checkout,1
84,4.290064,Winter_North,215.98285,0.12635121,0.0,344.46082,Checkout,0
85,4.281022,Winter_North,216.62288,0.1277945,0.0,345.0024,Checkout,1
86,4.1069055,Winter_North,216.77963,0.13274248,0.0,345.5408,Checkout,0
87,4.8591967,Winter_North,215.58652,0.10051823,0.0,346.08145,Checkout,1
88,4.5522404,Winter_North,216.03096,0.10136518,0.0,346.6146,Checkout,0
89,4.205246,Winter_North,216.91396,0.101361156,0.0,347.15,Checkout,0
90,4.082247,Winter_North,216.14027,0.09672438,0.0,347.68762,Checkout,1
91,4.073951,Winter_North,216.97124,0.10309541,0.0,348.2178,Checkout,0
92,3.2936814,Winter_North,254.7837,0.4514495,0.0,348.431,Checkout,1
93,5.785448,Winter_North,226.71654,0.54092413,0.0,349.638,Checkout,0
94,4.4516745,Winter_North,216.2764,0.5319895,0.0,349.8708,Checkout,1
95,5.194172,Winter_North,215.04265,0.5542445,0.0,350.34125,Checkout,0
96,5.046479,Winter_North,215.74762,0.56272393,0.0,350.8724,Checkout,0
97,4.449444,Winter_North,216.23349,0.5551553,0.0,351.4002,Checkout,0
98,4.2562275,Winter_North,215.69197,0.5498222,0.0,351.92828,Checkout,0
99,4.158917,Winter_North,216.19023,0.2717036,0.0,352.4536,Checkout,0
100,4.2994757,Winter_North,216.14957,0.13604175,0.0,352.979,Checkout,0
101,4.264046,Winter_North,215.67706,0.13977107,0.0,353.50656,Primary,0
102,5.080447,Winter_North,215.50255,0.12808567,0.0,354.0274,Primary,0
103,4.542661,Winter_North,215.4251,0.10483262,0.0,354.5481,Primary,0
104,3.7105968,Winter_North,216.63849,0.1390256,0.0,355.0716,Primary,0
105,3.9546676,Winter_North,216.27235,0.14672673,0.0,355.5926,Primary,0
106,4.246744,Winter_North,215.40892,0.14648691,0.0,356.1109,Primary,0
107,3.929461,Winter_North,216.15074,0.15336263,0.0,356.6318,Primary,0
108,3.4045894,Winter_North,256.05328,0.47441947,0.0,356.839,Primary,0
110,4.4344664,Winter_North,216.38728,0.4267505,0.0,358.15,Primary,1
111,4.7614574,Winter_North,242.57834,0.44280177,0.0,359.1,Primary,0
112,4.7614574,Winter_North,215.93575,0.45412648,0.0,359.29456,Primary,1
113,4.7614574,Winter_North,216.127,0.46141702,0.0,359.7288,Primary,0
114,4.7614574,Summer_North,216.35725,0.46850106,0.0,144.2418,Primary,1
115,4.7614574,Spring_North,215.69711,0.4588559,0.0,0.75730306,Primary,0
116,5.0564213,Spring_North,216.11275,0.26284784,0.0,1.2656,Primary,0
117,4.185957,Spring_North,215.6687,0.2890725,0.0,1.7745353,Primary,1
118,4.1102757,Spring_North,215.84998,0.113544695,0.0,2.2864,Primary,0
119,3.4797106,Spring_North,209.94307,0.2181505,0.0,2.690515,Primary,1
121,4.09965,Spring_North,214.72742,0.2151852,0.0,3.78,Primary,1
122,5.4963584,Spring_North,228.59291,0.3317001,0.0,4.666,Primary,0
123,4.076539,Spring_North,214.6072,0.33199593,0.0,4.884182,Primary,0
124,3.9565291,Spring_North,215.4391,0.31220087,0.0,5.329,Primary,0
125,3.8808005,Spring_North,215.61185,0.3159426,0.0,5.8334,Primary,0
126,4.198685,Spring_North,214.68694,0.31660154,0.0,6.3398485,Primary,0
