Sol,End,Look ahead,Activity,Solar longitude (deg),UTC
1252,1264,,"New WUTT Installation, Unsafe SEIS and APSS, SEIS Calibration (sol 1253), ODY_MSL_2022_163_04 Unreliable UHF overflight demo on Ch 0, SEIS VBBs on as long as possible, IDC Science and Tau Images",240.79,2022-06-05 03:17
1265,1278,,"New WUTT Installation, Increase CLT to 28 days, SEIS VBBs power cycled every sol, IDC Science and Tau Images",249.26,2022-06-18 12:00
1279,1291,,"New WUTT Installation, SEIS VBBs power cycled every sol, IDC Science and Tau Images",258.39,2022-07-02 21:24
1292,1305,,"New WUTT Installation, SEIS VBBs power cycled every sol, IDC Science and Tau Images",266.85,2022-07-16 06:08
1306,1319,,"New WUTT Installation, SEIS VBBs power cycled every sol, IDC Science and Tau Images",275.89,2022-07-30 15:33
1320,1332,,"New WUTT Installation, SEIS VBBs power cycled every other sol, IDC Science and Tau Images",284.83,2022-08-14 00:56
1333,1346,,"New WUTT Installation, SEIS VBBs power cycled every other sol, APSS PAE+28V+one of the TWINS booms, IDC Science and Tau Images",293.01,2022-08-27 09:38
1347,1360,,"New WUTT Installation, SEIS VBBs power cycled every other sol, IDC Science and Tau Images",301.67,2022-09-10 18:59
1361,1373,,"New WUTT Installation, SEIS VBBs power cycled every other sol, IDC Science and Tau Images",310.15,2022-09-25 04:18
1374,1387,,"New WUTT Installation, SEIS OFF, IDC Science and Tau Images (1 per week)",317.86,2022-10-08 12:56
1388,1400,,"New WUTT Installation, Unsafe SEIS and recovery, SEIS VBBs minimum power cycling strategy, IDC Science and Tau Images (1 per week)",325.98,2022-10-22 22:11
1401,1414,,"New WUTT Installation, SEIS VBBs minimum power cycling strategy, IDC Science and Tau Images (1 per week)",333.34,2022-11-05 06:46
1415,1428,,"New WUTT Installation, SEIS VBBs power cycling strategy, IDC Science and Tau Images (1 per week)",341.07,2022-11-19 15:59
1429,1442,,"New WUTT Installation, SEIS VBBs power cycling strategy, IDC Science and Tau Images (1 per week)",348.62,2022-12-04 01:10
