Sol,End,Look ahead,Activity,Solar longitude (deg),UTC
70,,,WTS Release,336.78,2019-02-06 16:34
71,,,"Tau, Deck Imaging, WTS Mosaic, and HP3 Checkout",337.33,2019-02-07 17:14
72,,,Runout,337.88,2019-02-08 17:53
73,,,Position Grapple Over HP3 Teach Point,338.43,2019-02-09 18:33
74,,,"HP3 Capture, SEIS Commissioning Activities, and HP3 Tilt Measurement",338.98,2019-02-10 19:12
75,,,Runout,339.53,2019-02-11 19:52
76,,,HP3 Deployment,340.08,2019-02-12 20:31
77,,,HP3 Checkout and SEIS Commissioning,340.63,2019-02-13 21:11
78,,,Runout,341.17,2019-02-14 21:50
79,,,HP3 Grapple Adjustment Part 1 and SEIS Commissioning,341.72,2019-02-15 22:30
80,,,Runout,342.26,2019-02-16 23:09
81,,,HP3 Grapple Adjustment Part 2 and SEIS Commissioning,342.80,2019-02-17 23:49
82,,,Runout,343.35,2019-02-19 00:28
83,84,,HP3 Grapple Release,343.89,2019-02-20 01:07
85,86,,"HP3 Tilt Measurement, HP3 and Deck Imaging,�and SEIS VBB Characterization and Calibration",344.97,2019-02-22 02:26
87,89,,HP3 Mole Release and SEIS Activities,346.04,2019-02-24 03:45
90,91,*,HP3 Hammering and SEIS VBB3 Characterization,347.65,2019-02-27 05:43
92,93,*,"SEIS Commissioning Activities, HP3 Stereo Imaging, Payload Grapple Localization, and Sunrise Imaging",348.72,2019-03-01 07:02
94,95,*,"SEIS Commissioning Activities, IDC AM Tau, and Grapple Stow",349.78,2019-03-03 08:21
110,111,,Workspace and HP3 Imaging,358.15,2019-03-19 18:50
112,113,,Tau and Cloud Survey Imaging; Setup for Equinox Imaging,359.18,2019-03-21 20:08
114,116,,HP3 Imaging,000.21,2019-03-23 21:27
117,118,*,"Unsafe the Cameras, AM Tau, and HP3 Hammering While Imaging",001.74,2019-03-26 23:25
119,120,*,"Science Panorama Gap Imaging, HP3 Imaging, and HP3 Radiometer Special Observations",002.76,2019-03-29 00:43
121,123,*,Science Morning Panorma,003.78,2019-03-31 02:02
130,131,,Runout,008.31,2019-04-09 07:55
132,133,,Dust Devil Search Imaging and IDA Temperature Monitoring,009.30,2019-04-11 09:14
134,135,,Science Panorama Imaging,010.30,2019-04-13 10:32
137,138,*,"AM IDC Tau, Dust Devil Imaging, and Aeolian Imaging of West Footpad",011.79,2019-04-16 12:30
139,140,*,Dust Devil Imaging,012.77,2019-04-18 13:48
141,143,*,IDA Retirement Pose and Rolling Stone Imaging; IDA No Load Characterization,013.76,2019-04-20 15:07
144,150,,"Sunrise and Sunset Imaging; SEIS, APSS, and RAD Data Acquisition",015.23,2019-04-23 17:04
151,152,,"AM IDC Tau, IDC Sky Flat Imaging, and RAD Calibrations; IDA Safed",018.65,2019-04-30 21:39
153,155,,Aerosol Sky Survey,019.61,2019-05-02 22:57
156,157,,Additional Science Panorama Imaging,021.06,2019-05-06 00:55
158,159,*,HP3 Diagnostic Hammering #3,022.03,2019-05-08 02:13
160,161,*,AM Tau and HP3 Stereo Imaging,022.99,2019-05-10 03:32
196,202,,"Routine Activities, ICC Dust Devil Movie, and IDA Temperature Monitoring",039.91,2019-06-16 03:04
203,209,*,HP3 SSA Lift Part 1 and Part 2; Imaging,043.13,2019-06-23 07:38
210,222,,Arm Grapple Adjustment Activity and Grapple Release of HP3 SSA,046.34,2019-06-30 12:13
223,229,,"IDS Stereo Imaging of HP3 SSA and Exposed Mole, Grapple Stow, Post Grapple Stow IDS Stereo Imaging of HP3 SSA and Mole Hole, and Close up Imaging of Mole Hole",052.26,2019-07-13 20:43
233,236,,Checkout Adjusted IDS Retirement Pose and Standoff Imaging of Mole Hole,056.78,2019-07-24 03:16
237,242,,IDS Course Scoop Positioning Next to HP3 Mole Hole; IDS Place Flat Scoop on Soil and Press Down,058.58,2019-07-28 05:53
