bin,BMY_BASE_ROD_TEMP,BMY_MID_ROD_TEMP,BMY_TIP_ROD_TEMP,BMY_HORIZONTAL_WIND_SPEED,BMY_WIND_DIRECTION,file_id,file_id_str,solar_longitude
2018-12-11 02:15:00,244.1417287066246,240.2707886435331,236.32952996845424,10.595786610878662,306.4652468619247,14,0014,304.192
2018-12-11 02:30:00,247.03064666666663,242.7895511111111,238.36376888888887,10.768310657596372,301.5684013605442,14,0014,304.192
2018-12-11 02:45:00,249.7225222222222,245.28367777777777,241.03388,11.18330855855856,298.8889549549549,14,0014,304.192
2018-12-11 03:00:00,251.67386222222223,247.23198666666667,242.67586888888889,9.900207207207208,300.5481418918919,14,0014,304.192
2018-12-11 03:15:00,253.86410666666663,249.40036666666663,245.1293311111111,9.896824053452116,293.83361024498885,14,0014,304.192
2018-12-11 03:30:00,255.53011111111115,251.1388111111111,246.7758333333333,10.27199552572707,300.7190782997763,14,0014,304.192
2018-12-11 03:45:00,256.9283555555555,252.63621777777777,248.6227511111111,9.07266592427617,299.01213808463257,14,0014,304.192
2018-12-11 04:00:00,259.1092904656319,254.84368736141903,250.16245676274943,8.15146803652968,293.86125114155254,14,0014,304.192
2018-12-11 04:15:00,260.08913333333334,256.2546911111112,251.12868444444445,8.064966592427616,277.1095991091314,14,0014,304.192
2018-12-11 04:30:00,260.3775044444444,256.6076155555555,251.7754888888889,10.079633333333334,302.82345555555554,14,0014,304.192
2018-12-11 04:45:00,261.14762222222225,257.9946,252.27883111111112,8.569472160356348,308.66115590200445,14,0014,304.192
2018-12-11 05:00:00,261.91646444444444,259.12048444444446,253.3209688888889,8.92418,303.49578444444444,14,0014,304.192
2018-12-11 05:15:00,261.90946,259.3630044444444,253.57544444444443,8.375185682326622,300.2743378076063,14,0014,304.192
2018-12-11 05:30:00,262.0465977777778,259.38418444444443,253.46238444444447,9.43562222222222,289.0118066666667,14,0014,304.192
2018-12-11 05:45:00,261.3791488888889,259.0597622222222,254.4472822222222,10.456977777777778,306.1451666666667,14,0014,304.192
2018-12-11 06:00:00,261.1602022222222,259.2412111111111,254.3202977777778,8.55109090909091,282.1535590909091,14,0014,304.192
2018-12-11 06:15:00,260.64594222222223,258.53526222222223,253.44114444444443,9.378077777777778,302.99068222222223,14,0014,304.192
2018-12-11 06:30:00,259.48584666666665,257.30174666666665,252.0278888888889,8.820586666666667,324.27424,14,0014,304.192
2018-12-11 06:45:00,258.5056311111111,256.42197333333337,251.86249333333333,9.53532,308.4843133333334,14,0014,304.192
2018-12-11 07:00:00,256.60618666666664,254.35904888888888,249.51396444444444,10.266824444444444,308.91325111111115,14,0014,304.192
2018-12-11 07:15:00,255.03664444444445,252.90097111111112,248.33530666666667,8.924766666666667,312.8558844444445,14,0014,304.192
2018-12-11 07:30:00,252.8007333333333,250.4194555555556,245.78569777777776,10.75176,302.43401111111115,14,0014,304.192
2018-12-11 07:45:00,250.33796222222225,247.8198622222222,243.3127888888889,9.377128888888889,301.7377911111112,14,0014,304.192
2018-12-11 08:00:00,247.56613555555555,244.9985955555556,240.52934888888888,8.963391111111111,304.8652066666667,14,0014,304.192
2018-12-11 08:15:00,243.94036666666665,241.1799777777778,236.75063111111112,9.030295555555556,300.9318444444445,14,0014,304.192
2018-12-11 08:30:00,240.2522888888889,237.3583955555556,232.80491111111112,7.173984444444445,301.1223755555556,14,0014,304.192
2018-12-11 08:45:00,236.06129777777775,232.64415777777776,227.59591777777777,7.06698,300.5906844444445,14,0014,304.192
2018-12-11 09:00:00,231.4138488888889,227.92488444444444,222.8574133333333,6.7227394209354125,300.65695545657013,14,0014,304.192
2018-12-11 09:15:00,226.7764088888889,223.3019066666667,218.3801355555556,6.533155555555556,300.44096,14,0014,304.192
2018-12-11 09:30:00,222.6315355555556,219.28323777777777,214.6839022222222,6.307180000000001,300.01430444444446,14,0014,304.192
2018-12-11 09:45:00,218.98504222222223,215.85544444444443,211.70254222222223,6.319246428571428,299.84130714285715,14,0014,304.192
2018-12-11 10:00:00,216.0481088888889,213.11910444444445,209.48283555555557,,,14,0014,304.192
2018-12-11 10:15:00,213.7914755555556,211.0880911111111,207.92402444444448,,,14,0014,304.192
2018-12-11 10:30:00,212.03018666666668,209.54755777777777,206.91418888888887,,,14,0014,304.192
2018-12-11 10:45:00,210.48087555555557,208.01845777777777,205.3838533333333,,,14,0014,304.192
2018-12-11 11:00:00,209.09392666666668,206.80706444444445,204.6041088888889,,,14,0014,304.192
2018-12-11 11:15:00,208.04822,205.89960888888888,204.04708444444444,,,14,0014,304.192
2018-12-11 11:30:00,207.01662666666667,204.8795955555556,203.06048444444443,,,14,0014,304.192
2018-12-11 11:45:00,206.0401377777778,203.96305111111116,202.26947777777775,,,14,0014,304.192
2018-12-11 12:00:00,204.92704666666668,202.75588888888888,200.9183955555556,,,14,0014,304.192
2018-12-11 12:15:00,203.8435,201.70600222222225,199.9226644444444,,,14,0014,304.192
2018-12-11 12:30:00,203.0545866666667,201.02619555555555,199.4356911111111,,,14,0014,304.192
2018-12-11 12:45:00,202.31131333333332,200.3323022222222,198.8657,,,14,0014,304.192
2018-12-11 13:00:00,201.66059555555557,199.7129666666667,198.35822666666667,,,14,0014,304.192
2018-12-11 13:15:00,200.8192177777778,198.79102,197.20923333333332,,,14,0014,304.192
2018-12-11 13:30:00,200.10022222222224,198.1322711111111,196.6359044444445,,,14,0014,304.192
2018-12-11 13:45:00,199.4597533333333,197.47250222222223,195.94113777777775,,,14,0014,304.192
2018-12-11 14:00:00,198.7808288888889,196.81383333333332,195.3566866666667,,,14,0014,304.192
2018-12-11 14:15:00,198.1276822222222,196.11042222222224,194.49580222222224,,,14,0014,304.192
2018-12-11 14:30:00,197.48725777777776,195.4953355555556,194.0054288888889,,,14,0014,304.192
2018-12-11 14:45:00,196.78137777777775,194.59576666666663,192.59261333333336,,,14,0014,304.192
2018-12-11 15:00:00,196.20392086330932,193.9436762589928,191.7015323741007,,,14,0014,304.192
2018-12-11 15:00:00,195.89505144694533,193.84030546623796,192.1473536977492,6.794475884244372,303.68829581993566,15,0015,304.507
2018-12-11 15:15:00,195.3350888888889,193.21178444444445,191.41479555555557,6.435608888888889,302.2539488888889,15,0015,304.507
2018-12-11 15:30:00,194.61951777777776,192.3833355555556,190.29129333333333,5.823331111111111,299.66328666666664,15,0015,304.507
2018-12-11 15:45:00,193.8896288888889,191.61582,189.3929444444444,5.768086666666667,297.29921333333334,15,0015,304.507
2018-12-11 16:00:00,193.25801777777772,190.9889688888889,188.8302044444445,6.052966666666666,295.0107711111111,15,0015,304.507
2018-12-11 16:15:00,192.75965111111108,190.57928222222225,188.54347777777775,5.837897777777778,297.09258,15,0015,304.507
2018-12-11 16:30:00,192.2515844444445,189.87099333333333,187.4189533333333,5.373171111111112,292.0724088888889,15,0015,304.507
2018-12-11 16:45:00,191.2722955555556,188.73218666666665,186.12264888888888,4.541231707317073,278.9597682926829,15,0015,304.507
2018-12-11 17:00:00,190.51439333333332,188.12081333333333,186.05174,,,15,0015,304.507
2018-12-11 17:15:00,189.89799555555555,187.5543888888889,185.63076,,,15,0015,304.507
2018-12-11 17:30:00,189.37301777777776,187.0776555555556,185.24918,,,15,0015,304.507
2018-12-11 17:45:00,188.87879333333333,186.57602888888889,184.7069555555556,,,15,0015,304.507
2018-12-11 18:00:00,188.38034444444443,186.05265777777777,184.11758,,,15,0015,304.507
2018-12-11 18:15:00,187.9940622222222,185.7046222222222,183.8922022222222,,,15,0015,304.507
2018-12-11 18:30:00,187.6810288888889,185.46748666666667,183.8790355555556,,,15,0015,304.507
2018-12-11 18:45:00,187.43405111111116,185.19266666666667,183.56833777777777,,,15,0015,304.507
2018-12-11 19:00:00,187.25036444444444,185.10796666666667,183.5982355555556,,,15,0015,304.507
2018-12-11 19:15:00,187.19166,185.02090222222225,183.4668333333333,,,15,0015,304.507
2018-12-11 19:30:00,187.09201777777776,184.7722022222222,182.8671533333333,,,15,0015,304.507
2018-12-11 19:45:00,186.94005555555557,184.5609355555556,182.5058222222222,,,15,0015,304.507
2018-12-11 20:00:00,186.7402066666667,184.36149555555556,182.3318111111111,,,15,0015,304.507
2018-12-11 20:15:00,186.4319888888889,183.92175777777777,181.64216,,,15,0015,304.507
2018-12-11 20:30:00,186.22448,183.72567333333333,181.4683777777778,4.324766816143498,261.7144394618834,15,0015,304.507
2018-12-11 20:45:00,185.71338666666668,182.8844555555556,180.0460911111111,3.9518533333333337,242.3351888888889,15,0015,304.507
2018-12-11 21:00:00,185.13268,182.31596,179.68748444444444,4.17172,229.2280133333333,15,0015,304.507
2018-12-11 21:15:00,184.41675191815852,181.6289028132992,179.00294373401533,3.788095,222.72648,15,0015,304.507
2018-12-11 21:30:00,183.5120022222222,180.90195777777777,178.7337488888889,,,15,0015,304.507
2018-12-11 21:45:00,184.0683533333333,181.45435777777777,179.3022288888889,,,15,0015,304.507
2018-12-11 22:00:00,185.0037844444444,182.53075777777775,180.4724422222222,,,15,0015,304.507
2018-12-11 22:15:00,186.06814444444444,183.8150155555556,182.12356666666665,,,15,0015,304.507
2018-12-11 22:30:00,187.4786333333333,185.41669777777776,184.06106222222223,,,15,0015,304.507
2018-12-11 22:45:00,189.53987333333333,187.82752,187.20308888888889,,,15,0015,304.507
2018-12-11 23:00:00,192.25530444444445,190.7000355555556,190.2415311111111,,,15,0015,304.507
2018-12-11 23:15:00,195.7946288888889,194.30241777777775,194.03915111111112,3.526,210.455,15,0015,304.507
2018-12-11 23:30:00,199.8809,198.17876,197.5723711111111,5.127273504273504,216.05317094017096,15,0015,304.507
2018-12-11 23:45:00,204.14745333333332,202.22669333333332,201.25158,4.959586466165414,221.2378270676692,15,0015,304.507
2018-12-12 00:00:00,208.4029933333333,206.0603333333333,204.41622,5.210078947368421,220.21344736842107,15,0015,304.507
2018-12-12 00:15:00,212.54628444444444,209.8548088888889,207.5997555555556,6.2975,258.7825,15,0015,304.507
2018-12-12 00:30:00,216.5297711111111,213.34707333333336,210.07022222222224,7.531169665809768,253.15694344473005,15,0015,304.507
2018-12-12 00:45:00,220.43885333333333,217.0217133333333,213.0824955555556,7.04864587973274,257.3866057906459,15,0015,304.507
2018-12-12 01:00:00,224.10886222222223,220.04541777777777,214.99609777777775,6.21213953488372,242.43227209302324,15,0015,304.507
2018-12-12 01:15:00,227.99147555555555,224.45290888888889,219.18853777777775,5.400830663615561,282.7408375286041,15,0015,304.507
2018-12-12 01:30:00,232.75570666666667,228.79023777777775,222.6991866666667,4.268890160183067,263.86204118993135,15,0015,304.507
2018-12-12 01:45:00,236.51130444444445,231.32655111111112,223.6130222222222,5.358119909502263,253.4981063348416,15,0015,304.507
2018-12-12 02:00:00,240.3977333333333,236.60755111111112,229.5783133333333,3.0466978922716628,288.0750468384075,15,0015,304.507
2018-12-12 02:15:00,244.86056444444444,240.16413333333333,232.78804222222223,5.655351230425056,287.96857046979864,15,0015,304.507
2018-12-12 02:30:00,246.84742444444444,242.0786,234.30518666666669,4.857957446808511,270.5736855791962,15,0015,304.507
2018-12-12 02:45:00,251.5546133333333,248.83248444444445,244.45505777777777,2.400286458333333,294.5537083333333,15,0015,304.507
2018-12-12 03:00:00,254.06538444444445,248.80495555555555,241.3062111111111,5.869232183908046,289.1904298850575,15,0015,304.507
2018-12-12 03:15:00,255.51254,250.18093333333331,242.06381333333331,3.651605263157895,250.8199425837321,15,0015,304.507
2018-12-12 03:30:00,258.3647688888889,254.8707711111111,249.9077088888889,4.613047120418848,251.72329057591625,15,0015,304.507
2018-12-12 03:45:00,259.20339333333334,253.40946222222223,245.4915266666667,4.866321621621622,259.1630405405405,15,0015,304.507
2018-12-12 04:00:00,260.73436444444445,255.52526666666665,249.00670666666664,5.775093167701863,279.67258695652174,15,0015,304.507
2018-12-12 04:15:00,261.1747088888889,256.78614888888893,250.48813555555557,5.0768360655737705,290.71131147540984,15,0015,304.507
2018-12-12 04:30:00,262.95070444444445,257.9998288888889,251.98583555555555,5.29016461916462,251.30737592137592,15,0015,304.507
2018-12-12 04:45:00,263.3318088888889,259.3854422222222,254.17028444444443,6.129662591687042,288.00440586797066,15,0015,304.507
